influencer_name,display_name,post_count,avg_likes,avg_comments,avg_views,total_likes,total_comments,account_type,country,followers_at_date,oldest_followers,FGR,first_post,last_post,category
twitburcc,Zeynep Turan,100,4161.55,79.77,294023.83,416155,7977,business,TR,1470119,1176095,-37.12,2026-04-29 12:01:54,2026-05-19 17:08:09,
vmilor,Vedat Milor,100,8814.69,221.32,699215.87,881469,22132,creator,TR,3496079,2796863,-10.62,2025-05-20 16:10:00,2026-05-19 16:12:02,
wishceylanmurat,Murat Ceylan Wish,100,35877.65,157.3,2227173.73,3587765,15730,business,TR,11135869,8908695,-67.99,2022-06-15 19:23:37,2026-04-29 15:11:39,
yogadenizs,Deniz Şen,100,924.83,22.06,113562.48,92483,2206,creator,TR,567812,454250,-98.19,2022-12-12 17:03:14,2026-04-21 14:05:54,
zey_zor,Zeynep Boz,100,0.0,6.12,44375.57,0,612,creator,TR,221878,177502,4305.84,2026-04-06 16:55:12,2026-05-19 10:32:59,
zeyatilgan,Zeynep Atılgan,100,100406.18,1333.4,3986685.4,10040618,133340,creator,TR,19933427,15946742,511.36,2025-10-09 11:54:46,2026-05-18 16:23:14,
zeynebin_mutfagiii,Zeynep Aslanboğa,100,11352.71,128.85,2555462.68,1135271,12885,creator,TR,12777313,10221851,-60.39,2024-06-05 18:48:10,2026-05-16 13:11:52,
zeynep.okktay,Zeynep Sude Oktay,50,173275.44,2496.16,9054306.18,8663772,124808,creator,TR,45271531,36217225,-8.46,2025-02-06 21:19:55,2026-05-12 18:09:15,
zeynepbastik,Zeynep Bastık,100,45716.93,332.91,3287633.85,4571693,33291,creator,TR,16438169,13150535,-31.73,2024-11-05 14:47:17,2026-05-19 15:35:47,
zeynepboutique,ZeynepBoutique,100,136.81,53.1,66955.35,13681,5310,business,TR,334777,267821,-54.99,2026-05-08 19:18:03,2026-05-19 19:30:44,
zeynepceltek_adana,ZEYNEP ÇELTEK GÜZELLİK,100,12.24,1.8,4628.93,1224,180,business,TR,23145,18516,-10.72,2025-12-06 10:00:36,2026-05-19 05:18:05,
zeynepinharikalardiyari,Zeynep Girgin Kalelioglu,100,6006.93,145.02,209566.24,600693,14502,creator,TR,1047831,838265,13.1,2025-11-06 20:15:18,2026-05-10 16:37:45,
zeyneppozkayaa,Zeynep Özkaya Can,100,15836.53,100.41,1654642.23,1583653,10041,business,TR,8273211,6618569,-71.44,2025-10-24 14:06:18,2026-05-19 10:14:03,
zeyneptugcebayat,zeynep tugce bayat,100,11652.06,105.26,1106556.36,1165206,10526,creator,TR,5532782,4426225,-77.07,2025-01-07 15:28:54,2026-05-19 14:58:05,
zeynolu_tatlar,Zeynep Kılıçer Gumus,100,20623.42,236.5,1419733.59,2062342,23650,creator,TR,7098668,5678934,-47.25,2025-12-18 18:10:26,2026-05-19 18:46:44,
zuzu_mutfakta,ZEYNEP COŞKUN YILDIZ,100,4497.31,132.21,9552.09,449731,13221,business,TR,47760,38208,0.0,2020-10-29 11:55:54,2025-11-09 11:42:45,
zyfest,Zeynep Tuğçe Turan,100,706.43,41.09,71727.99,70643,4109,creator,TR,358640,286912,-53.45,2026-03-22 07:06:22,2026-05-19 18:08:48,
zynpzeze,Zeynep Özbayrak,100,38897.64,488.08,2348993.54,3889764,48808,creator,TR,11744968,9395974,-76.74,2024-10-02 19:49:20,2026-05-08 16:53:22,
